teks,label,skor
pandemik bayar gaji selesa kerja relaks fikir kerja henti kerja henti kerja pandemik benda henti kerja,Negatif,-1
gaji cepat,Netral,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,-1
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral,0
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral,0
lompat kerja mesti benda bagus sesuai gaji baca,Netral,0
kerja enak ajar tumbuh serve kerja pulang gaji pikir robot,Netral,0
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif,-1
cowok umur kerja bumn kerja gaji pegawai pilih pindah kerja swasta gaji pegawai kontrak coba cpns terima kasih alas,Positif,1
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0
alas pindah kerja gaji bijak marah anak buah pulang tani rumah,Negatif,-1
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral,0
kerja suka duka beban kerja kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif,-1
alas benci pindah pusat lingkung kerja jahat,Negatif,-1
kadang alas lucu pengin pindah kerja libur tanggal merah jaman kuliah kaya logis banget,Netral,0
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
alas orang pindah kerja gaji harga harga,Positif,1
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,1
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif,1
lihat jakarta gaji minat pindah kerja kecuali alas,Positif,1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif,1
alas kakak kerja biar kerja biar cepat nikah biar kayak bawa pindah bareng biar hidup lepas jahat,Negatif,-1
dunia kerja orang henti kerja alas lelah pindah gaji henti kerja alas,Negatif,-1
alas pindah kerja motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji bonus,Positif,1
pindah kerja alas kerja pindah kerja gaji jakarta gaji,Negatif,-1
pengin pindah kerja alas jarak jarak kerja lumayan pengin pindah rumah gaji rendah dilema,Negatif,-1
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,1
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Positif,1
nekad jahat teman kantor suportif kerja budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif,-1
pindah turun gaji alas pindah kerja rekan kerja lingkung jahat banget bikin betah gaji turun lingkung alhamdulillah enak,Negatif,-1
curhat terima kerja bidang gaji gaji ambil terima jakarta alas pengin pindah gaji jenjang karir pengin alam,Netral,0
gaji alas pengin pindah kerja,Negatif,-1
alas mumpuni pindah kerja karier kontribusi kembang,Netral,0
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif,1
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif,-1
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif,-1
durasi kerja usaha pindah pindah alas tingkat gaji bidang,Negatif,-1
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif,-1
alas klasik pindah kerja gaji miris kelar strata kompromi ilmu coba salah kali coba,Netral,0
kerja bayar juta begadang tidur come,Netral,0
sayang mental lingkung jahat over lembur bayar urus kantor agustus kerja januari tabung,Netral,0
harap coba kembang beda cari suasana tantang kerja alam luas,Netral,0
loyalitas hasil kerja sesuai tawar gaji bangun sulit kembang,Positif,1
kadang suka kesel omong duit kerja nyokap kena anak doang anak laki hamil kerja alas pengin pindah kota biar jahat hidup,Negatif,-1
cari gaji alas super valid pindah kerja,Negatif,-1
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif,-1
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif,1
jahat pindah pindah kantor,Negatif,-1
nyata orang lingkung kerja jahat bayang parah cerita mbak nyata,Negatif,-1
kerja kantor lembur bayar pulang malam buah budaya haram hukum pulang pabrik pulang karyawan pulang ganti,Netral,0
lompat lompat relatif stabil cetak badai reda asik goreng gaji pindah kena,Negatif,-1
teman rsud jawa kerja jawa alas gaji sesuai beban kerja sulit dokter dikit perata dokter problem,Negatif,-1
barusan teman cerita usaha jepang jaman kali pindah kerja alas loyal kutu loncat problem,Negatif,-1
alas pengin pindah kerja kasih orang suruh orang kerja selesai masuk gaji,Negatif,-1
ramai henti kerja gaji harga kawan kerja jahat beban kerja,Negatif,-1
dunia kerja kantor salah kerja pecat hilang gaji kerja hilang nyawa pindah tugas gaji enak,Negatif,-1
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0
alas pindah kerja gaji orang pindah kerja gaji kembang lingkung sesal arti,Netral,0
undang sabtu kondisi alas pindah kerja kerja alas gaji,Netral,0
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif,-1
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1
kena henti kerja dorang stres kerja peras ramai benda henti kerja,Negatif,-1
alas kerja negara rana ambil ilmu alam salur malaysia kejar gaji kejar faedah gaya hidup,Negatif,-1
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1
tips salah jenis pilih kasih salah bosan kerja salah gaji kena potong lepas,Negatif,-1
acapkali kerja arah tulis surat kerja utara alami kerja ketidakpuasan hati hadap skop kerja jadual bayar gaji janji pindah turun pangkat,Negatif,-1
pikir kembang sehat pilih pilih,Negatif,-1
omong mama pindah kerja alas gaji emak auto ceramah takut enak kerja lupa jodoh,Negatif,-1
september kemarin jahat kerja kantor kantor senang banget banget banget menang,Positif,1
alas pindah kerja kerja leluasa perintah agama gaji ubah,Negatif,-1
usaha minimal kerja putus pindah bilang kutu loncat alas jenjang karir pindah kerja fasilitas tara kerja cari gaji pindah,Negatif,-1
cerita orang pimpin cewek gaji digit kadang tembus uang pindah bank alas masuk bank pakai gaji habis pegang suami info suami kerja,Negatif,-1
pikir kayak orang kerja pindah kerja wajar cari gaji bagus cari lingkung kerja bagus alas orang pindah kerja malu pikir cetek,Negatif,-1
alas pindah kerja gaji,Negatif,-1
lupa alas pindah kerja alas gaji hapal,Negatif,-1
undang sabtu kondisi alas pindah kerja kerja alas gaji,Netral,0
tawar kerja sekolah posisi terima ajar sekolah kontrak kayak gaji pengin pindah alas kepsek logis,Netral,0
alas pindah bilang sesuai nyata utama kerja kadang pagi malam pulang gila anak kerja,Negatif,-1
salah kerja pilih cari duit nyaman cari ajar alam muda saran cari jahat,Negatif,-1
salah alas utama orang pindah kerja kena gaji jenjang karir lingkung kerja omong lingkung kerja jelek bilang gaji jenjang karir usaha janji,Negatif,-1
wacana buah bibir kerja sorot kerap pergok kerja contoh,Negatif,-1
manfaat kondisi level karir pindah usaha valid,Netral,0
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1
kena tukar gaji kena lihat faktor peluang staf staf cuti kerja kena angkut isteri angkut senarai,Negatif,-1
rumah cuti masuk staff jahat gaji komitmen takat,Negatif,-1
bikin rekening bohong alas pindah kerja gaji dikit kemarin,Negatif,-1
cewek kerja pulang sore galak kerja main sabtu masuk tanggal merah masuk jarak rumah kantor kerja takut tanggap,Negatif,-1
lompat kenal kawan sorang lompat tukar tukar baju gaji,Netral,0
laksana patut kuat kuasa september tangguh cuti salin cuti kerja minggu lepas raja putus pinda akta kerja tangguh januari,Netral,0
putus pindah kerja gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Netral,0
staff bilang hati makan usaha coba cari kerja susah jaman kerja kayak dasar syukur entar kerja,Negatif,-1
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif,1
kerja jawat awam putus henti kerja nasihat henti alas sayang kerja jamin takut niaga,Negatif,-1
pindah henti cikgu posting jalan kereta jalan laut sekolah cantik budaya kerja santai,Negatif,-1
orang kerja cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah,Negatif,-1
drop alas jahat jahat drop etis versi terima kasih,Negatif,-1
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka kerja takut,Negatif,-1
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal kerja cakap pasal jahat jatuh cinta,Negatif,-1
pindah kerja gaji turun ribu alas pindah betah kerja kerja,Negatif,-1
cewek gaji pindah kerja gaji turun persen alas putus,Netral,0
rekan kerja pindah kerja gaji digit digit jabat rendah kerja kontrak alas pindah start stabil,Negatif,-1
terima kasih tawar salah alas pindah kerja minimal gaji tawar buka diskus moga timbang terima kasih,Negatif,-1
allah alas pengin kerja salah pengin pindah banget tetangga jahat moga cepat kerja,Netral,0
pengin pindah kerja alas gaji cuman lepas lingkung pikir,Negatif,-1
teman kantor utama cewek coba salah sender sender suka sebentar tinggal uang asuransi jamin cela,Negatif,-1
wajib alas pindah kerja gaji spekulasi jamin nyaman mending pindah,Negatif,-1
bangun kantor masuk bangun keburu sarap kantor salah alas pindah masuk kerja posisi eksklusif,Negatif,-1
pengin pindah kerja alas kuat gaji jemput susah motor gampang kerja susah gaji susah,Negatif,-1
karyawan kerja pola pikir maaf kerja rumah kapai daftar kerja rumah kemarin terima kerja gaji,Positif,1
halo sender kantor alhamdulillah langsung kerja gaji kantor kerja menang hasil,Positif,1
alas pindah kerja alas pindah jahat rangkap,Negatif,-1
kerja coba minimarket bang warnet kafe toko baju toko daging motel libur cuman tidur alas uang,Positif,1
guru gaji administrasi murid nakal wali murid rekan guru jahat,Positif,1
korban gaji juta paksa hidup gaji juta paksa cari laki suruh pindah kerja gaji,Negatif,-1
paksa modern bebas undur tunggu anggap kerja tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Negatif,-1
cewek gaji aneh usaha salah over kasih gaji biar pikir capek ajar,Negatif,-1
cewek gaji putus kerja libur gaji juta jujur badan toleransi,Positif,1
sayang kerja jahat sedih,Negatif,-1
alas pindah kerja henti kerja kembang bosan cari hobi bikin kembang bikin semangat,Negatif,-1
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif,-1
banget teman pilih dagang cilok alas bilang fleksibel mudah ibadah hasil gaji dagang,Positif,1
kemarin pusing pikir salah alas tolak tawar pindah kerja gaji,Negatif,-1
mama menang kangen adik bungsu kerja qatar lulus bandung orang kasihan capek pulang tarik nafas kerja gaji,Positif,1
alas bikin gaji jahat kerja sesuai minat bahas versi hasil riset,Positif,1
wajar tukar kerja pindah kerja gaji loyal gaji tengok contoh situasi,Negatif,-1
sorang adik komen nama hakim nama bang malas pergi kerja esok kali tengok muka suka harga awak gaji,Negatif,-1
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif,-1
kadang timbang orang rela kerja gaji faktor jarak keluarga tinggal anak lingkung kerja,Negatif,-1
omong gaji orang ambis tarik bahas gaji pindah kerja alas gaji kerja coba usaha,Netral,0
utama kerja masuk gaji pakai orang indonesia indonesia gaji habis hidup,Negatif,-1
pindah kantor kali kerja alas kawan kantor jahat terima pindah kantor kali mesti kaca jahat,Negatif,-1
ganti beda kerja situ kerja kerja upah lembur gaji bpjs parkir bayar jarak tempuh ijin tunjang cair,Netral,0
ramai gaji harga kawan kerja jahat susah situ repek kebaji kerja abai jaga anak jaga sehat,Negatif,-1
alas obat bilang mantan rekan teman bilang mbak sepatu mall beliau manager region jateng mall,Negatif,-1
tolong resmi bank swasta lolos gaji moga putus karir riba,Netral,0
kerja slogan sekolah kampung uang saku sekolah ajar riset tinggal sintas perempuan minggu lihat tangis sintas tahan dinamika henti salah,Positif,1
pindah rumah kantor rekan kerja ajar jalan doang tahan minggu habis alas niat susah,Negatif,-1
pulang malam subuh emak kasih pindah kerja alas cuman rumah rumah potensi malam,Netral,0
rasai orang orang betah kerja lingkung kerja jahat kemarin berkas berkas alas pindah,Negatif,-1
suruh pulang kerja selesai kantor tutup artikel alas pindah kerja,Negatif,-1
terima kerja langsung suruh banget tunggu proses banget allah nama kerja alas pindah gaji habis catat nomor,Positif,1
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif,-1
alas pindah kerja hutan belantara produk nama nipis madu gaji kota,Netral,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral,0
gaji lipat sesuai usaha jenjang karir jakarta transportasi ongkos jahat rekan kerja kayak doang,Negatif,-1
alas pindah kerja pindah kerja cari gaji nafkah,Negatif,-1
alas alas percaya alas pindah kerja melulu gaji alas,Negatif,-1
kerja jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil,Negatif,-1
alas teman jahat jahat kerja bikin gila cari kerja alas pindah kerja,Negatif,-1
kayak rame generalisasi baca sisi positif kutu loncat pindah posisi gaji,Negatif,-1
rekan kerja usaha alas posisi pindah situ,Negatif,-1
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Negatif,-1
kerja undang jujur kerja tolong kasih referensi alas pindah kerja over,Netral,0
pindah kerja alas kantor jahat kantor gaji pindah sesal terima kasih,Negatif,-1
paksa masuk kerja pagi pulang malam buta hukum telat balas pesan menit paksa lepas alat kena sakit paksa kerja tidur kaki tangan hilang,Negatif,-1
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif,1
putus lingkung kerja nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Positif,1
dunia kerja dunia kerja atur urus tinggal ijin omong sakit lampir surat ijin kerja orang asih gaji,Negatif,-1
kerja pindah alas pindah kerja cuman gaji,Negatif,-1
entar ketemu teman gaji pikir pindah saran syukur pindah kerja alas gaji teman dewasa,Positif,1
teman pindah pindah gede gaji kerja susah hidup kapai susah alas orang pindah kerja biar gaji rendah,Negatif,-1
teman henti alas guru senior murid bandel banget kerja sekolah negeri buah kota beban kerja sesuai gaji,Netral,0
kali lingkung kerja jahat surat,Negatif,-1
alas biar kerja kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Positif,1
lihat pilih gaji opsi kerja lingkung nyaman jarak pilih milik timbang kena,Netral,0
arti tahan lingkung kerja jahat faktor gaji tekan keluarga kerja janji,Negatif,-1
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,-1
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral,0
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif,1
bismillah coba rangkum sederhana paham merger akuisisi sektor bisnis kecuali industri malu agens kembang,Positif,1
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif,-1
cabut manager peka karir kembang kompensasi kerja belit kasi ajar apresiasi mentor kultur sehat ruang inovasi,Negatif,-1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif,1
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,1
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,1
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral,0
durasi kerja usaha pindah pindah alas tingkat gaji bidang,Negatif,-1
jaman bisnis identik milik keluarga indak butuh struktur organisasi detail iring ubah jaman buah usaha milik milik saham,Positif,1
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif,1
usaha kemarin lulus sekolah kerja henti alas gaji kerja tempo ketemu pindah kerja,Positif,1
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif,-1
baca kontrak kerja usaha asih denda selesai kontrak kerja pindah kompetitor jujur alas cari kerja,Negatif,-1
akak teman orang pindah usaha nutrisi usaha alas kali lipat mantap,Netral,0
kerja enak banget banget bosan astaga indah bego banget pindah kerja salah usaha alas gaji digit nyata bayar tanggung sanggup,Positif,1
bilang gaji lumrah alas pindah usaha,Negatif,-1
alas kerja lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif,-1
harap coba kembang beda cari suasana tantang kerja alam luas,Netral,0
gaji cepat pindah usaha usaha syarat layak alas pindah alas negatif,Negatif,-1
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif,1
jabodetabek wajar alias kutu loncat pindah kerja gaji pindah kerja daerah lapang kerja batas rendah coba,Negatif,-1
lompat masuk masuk bonus kali tahan until,Negatif,-1
sesal suruh pindah surabaya hidup jamin papa kerja usaha rumah kendara bego banget pakai alas pisah teman suka yuda,Negatif,-1
lompat lompat relatif stabil cetak badai reda asik goreng gaji pindah kena,Negatif,-1
salah alas suami pindah kerja gaji usaha sakit bpjs doang profit fasilitas alhamdulillah,Negatif,-1
barusan teman cerita usaha jepang jaman kali pindah kerja alas loyal kutu loncat problem,Negatif,-1
beban operasional usaha karyawan sesuai gaji biar beban operasional berat karyawan gaji ganti karyawan gaji,Positif,1
alas gaji wajar takut anggap loyal usaha anggap usaha gaji pindah,Negatif,-1
usaha teman jamin capek nyaman alas pindah pindah orang,Negatif,-1
sejarah catat pindah presiden sulit ekonomi negara utang potensi gusur warga lokal luas rusa kalimantan cenderung untung oligarki,Negatif,-1
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif,-1
undur massal usaha pandemi kondisi usaha stres kerja pelik karyawan putus salah usaha karyawan pandemi,Negatif,-1
tips salah jenis pilih kasih salah bosan kerja salah gaji kena potong lepas,Negatif,-1
usaha ganti kerja mesin laku alas manusia tangan kerja usaha kembang semangat panjenengan,Positif,1
alas utama semester stop kerja guru honorer pindah usaha hidup kayak orang kayak gaji kadar makan enak uang orang,Negatif,-1
usaha erti bingung pakai alas keluarga pindah kota kayak alas niat susah langsung gaji cair,Negatif,-1
gantung pindah kantor usaha beda usaha usaha alas pindah mutasi beda beda ubah gaji ubah,Negatif,-1
lulus kuliah kerja pindah usaha cantum kerja pindah alas gaji daerah lingkung jahat,Negatif,-1
pengin pindah industri kembang coba perhati jual,Positif,1
usaha jenjang karir gaji pindah alas cari gaji,Negatif,-1
alas pindah kerja gaji lingkung jahat syukur gaji segi kualifikasi kompetensi usaha sesuai kesel bilang kayak kesal,Negatif,-1
salah alas utama orang pindah kerja kena gaji jenjang karir lingkung kerja omong lingkung kerja jelek bilang gaji jenjang karir usaha janji,Negatif,-1
manfaat kondisi level karir pindah usaha valid,Netral,0
pindah kerja cari uang banget usaha kasih gaji kasih tenang batin kerja alas pandemi kena imbas erti,Negatif,-1
pindah usaha alas utama gaji perkara usaha alas urus,Negatif,-1
uang edar salah alas inflasi mangkanya gaji salah inflasi mangkanya gaji pilih pindah usaha,Negatif,-1
kena tukar gaji kena lihat faktor peluang staf staf cuti kerja kena angkut isteri angkut senarai,Negatif,-1
kerja pindah alas usaha gaji karyawan alas,Netral,0
cakap pahit teruk kedekut gaji buruk contoh alas henti,Negatif,-1
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Positif,1
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif,-1
singkat dunia kerja khusus anak kerja atur pengin umur pendek anak kerja teman belah rekan kerja,Negatif,-1
cerita pecat karyawan kerja kerja kerja tonton kerja bingung lucu marah,Negatif,-1
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif,1
alas pindah manual digital kudu harga negeri kurs murah digitalisasi pakai produk lokal jamin aman data usaha,Negatif,-1
dunia kembang arah revolusi industri kerja hidup binatang libur kerja tunjang santai minum sampanye restoran mewah,Positif,1
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal kerja cakap pasal jahat jatuh cinta,Negatif,-1
kerja usaha lokal indonesia prinsip kerja wajar batas usaha gaji beda kerja maksimal usaha harga upaya,Netral,0
hidup realitas ekonomi buah usaha rugi gaji direksi potong tekan usaha rugi karyawan penuh kait rantai pasok,Negatif,-1
indonesia gaji lingkung kerja jahat sadar,Negatif,-1
susah kerja usaha israel pribadi kerja umkm gaji minimal turun drastis pasu turun usaha israel tingkat pecah rumah,Netral,0
mentoring curhat kembang kerja pindah pindah bantu,Negatif,-1
alas pindah sadar gaji lingkung kerja salah bocil matahari buta dunia kerja mending pikir pindah usaha cari nyaman,Negatif,-1
kontra tuju fokus alas pindah usaha stabil gaji stabil,Positif,1
zaman almarhum papa salah bank pindah alas birokrasi susah capai usaha minim kerja,Negatif,-1
sender coba lamar lamar usaha mending alas gaji telat bayar kantor pindah susah akses kendara,Negatif,-1
biar pindah usaha alas gaji,Negatif,-1
saran mbak terima sangon ganti usaha alam pojok paksa klarifikasi jatuh nama bikin stres niat ambil,Negatif,-1
kontrak usaha gaji nyaman pengin pindah alas,Netral,0
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif,-1
salah pindah usaha bagus kantor salah asuransi kantor alas mulia gaji,Negatif,-1
manfaat buruh usaha hemat kali gaji orang alas upah minimum rendah,Netral,0
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif,-1
paksa bayar gaji paksa laku usaha ganti rugi sisa kontrak wajib pasal ubah,Negatif,-1
kait kutu loncat manajemen loncat bikin gaji drastis baca kutu loncat rekomendasi kasih orang kandidat,Positif,1
awak tukar bidang salah bosan kerja salah dengar gaji,Negatif,-1
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif,-1
kadang nama paragon segani pindah usaha mudah alas kasih tawar gaji lipat,Negatif,-1
